timestamp,side,quantity,price,calculated_amount,fee,PnL,Cumulative_PnL
2024-03-08 05:55:00,1,0.00105347,94908000,99982.73075999999,49.99,-100032.72076,12602747.674470004
2024-03-08 05:59:00,1,0.0449,94800000,4256520.0,2128.26,-4258648.26,8344099.414470004
2024-03-08 05:59:00,1,0.00105485,94800000,99999.78,49.99,-100049.77,8244049.644470004
2024-03-08 05:59:00,1,0.02000914,94804000,1896946.5085600002,948.47,-1897894.9785600002,6346154.665910004
2024-03-08 05:59:00,1,0.00035595,94804000,33745.4838,16.87,-33762.353800000004,6312392.312110004
2024-03-08 06:08:00,0,0.00581065,94331000,548124.42515,274.06,547850.36515,6860242.677260004
2024-03-08 06:16:00,1,0.00105797,94516000,99995.09252,49.99,-100045.08252000001,6760197.594740004
2024-03-08 06:19:00,1,0.05,94612000,4730600.0,2365.3,-4732965.3,2027232.2947400045
2024-03-08 06:21:00,1,0.023,94621000,2176283.0,1088.14,-2177371.14,-150138.84525999567
2024-03-08 06:23:00,0,0.02540767,94489000,2400745.33063,1200.37,2399544.96063,2249406.1153700044
2024-03-08 06:23:00,0,0.00482483,94490000,455898.18669999996,227.94,455670.24669999996,2705076.3620700045
2024-03-08 06:23:00,0,0.02459233,94489000,2323704.66937,1161.85,2322542.8193699997,5027619.181440004
2024-03-08 06:23:00,0,0.04517517,94490000,4268601.8133000005,2134.3,4266467.513300001,9294086.694740005
2024-03-08 06:24:00,1,0.04908028,94593000,4642650.926039999,2321.32,-4644972.24604,4649114.448700005
2024-03-08 06:24:00,1,0.00042286,94593000,39999.59598,19.99,-40019.585979999996,4609094.862720005
2024-03-08 06:24:00,1,7.4e-05,94593000,6999.882,3.49,-7003.371999999999,4602091.490720005
2024-03-08 06:24:00,1,0.00021143,94593000,19999.79799,9.99,-20009.78799,4582081.702730005
2024-03-08 06:24:00,1,0.00021143,94593000,19999.79799,9.99,-20009.78799,4562071.914740005
2024-03-08 06:25:00,0,0.01064547,94469000,1005666.90543,502.83,1005164.0754300001,5567235.990170005
2024-03-08 06:25:00,0,0.0018,94469000,170044.19999999998,85.02,169959.18,5737195.1701700045
2024-03-08 06:25:00,0,0.00010364,94469000,9790.767160000001,4.89,9785.877160000002,5746981.047330004
2024-03-08 07:12:00,1,0.02042659,94638000,1933131.6244200002,966.56,-1934098.1844200003,3812882.862910004
2024-03-08 07:12:00,1,0.00833276,94638000,788595.7408799999,394.29,-788990.03088,3023892.832030004
2024-03-08 07:12:00,1,0.02124065,94638000,2010172.6347,1005.08,-2011177.7147000001,1012715.1173300038
2024-03-08 07:36:00,0,0.00694061,94502000,655901.52622,327.95,655573.57622,1668288.6935500037
2024-03-08 07:39:00,0,0.00546905,94464000,516628.3392,258.31,516370.0292,2184658.7227500034
2024-03-08 07:39:00,0,0.00016548,94464000,15631.90272,7.81,15624.09272,2200282.8154700035
2024-03-08 07:43:00,1,0.0251,94333000,2367758.3000000003,1183.87,-2368942.1700000004,-168659.35452999687
2024-03-08 07:45:00,0,0.01631399,94267000,1537870.89533,768.93,1537101.96533,1368442.6108000032
2024-03-08 07:45:00,0,0.00552269,94304000,520811.75776,260.4,520551.35776,1888993.9685600032
2024-03-08 07:45:00,0,0.05,94309000,4715450.0,2357.72,4713092.28,6602086.248560004
2024-03-08 08:16:00,1,0.01084609,94357000,1023404.5141299999,511.7,-1023916.2141299999,5578170.034430004
2024-03-08 08:16:00,1,0.004,94357000,377428.0,188.71,-377616.71,5200553.324430004
2024-03-08 08:16:00,1,0.0105,94357000,990748.5000000001,495.37,-991243.8700000001,4209309.454430004
2024-03-08 08:16:00,1,0.00064049,94357000,60434.714929999995,30.21,-60464.924929999994,4148844.5295000034
2024-03-08 08:16:00,1,0.0024,94357000,226456.8,113.22,-226570.02,3922274.5095000034
2024-03-08 08:17:00,0,0.05,94302000,4715100.0,2357.55,4712742.45,8635016.959500004
2024-03-08 08:17:00,1,0.00106041,94298000,99994.54217999999,49.99,-100044.53218,8534972.427320004
2024-03-08 08:32:00,1,0.00026203,94345000,24721.22035,12.36,-24733.58035,8510238.846970003
2024-03-08 08:32:00,1,0.00204745,94345000,193166.67025000002,96.58,-193263.25025,8316975.5967200035
2024-03-08 08:32:00,1,9.248e-05,94345000,8725.025599999999,4.36,-8729.3856,8308246.211120004
2024-03-08 08:51:00,1,6.375e-05,94115000,5999.83125,2.99,-6002.82125,8302243.389870004
2024-03-08 08:51:00,1,0.00053126,94115000,49999.5349,24.99,-50024.5249,8252218.864970004
2024-03-08 09:16:00,1,0.04290885,94093000,4037422.42305,2018.71,-4039441.13305,4212777.731920004
