timestamp|side|price|quantity|calculated_amount|fee|PnL|cumulative_PnL|current_quantity
2024-03-08 01:14:00|0|94453000|0.03981118|3760285.38454|1880.14|-3762165.52454|-13223713.46365|0.13980003000000002
2024-03-08 01:14:00|1|94568000|0.02|1891360.0|945.68|1890414.32|-11333299.143649999|0.11980003000000002
2024-03-08 01:14:00|1|94568000|0.03|2837040.0|1418.52|2835621.48|-8497677.663649999|0.08980003000000002
2024-03-08 01:14:00|0|94453000|0.00426|402369.77999999997|201.18|-402570.95999999996|-8900248.62365|0.09406003000000002
2024-03-08 01:19:00|1|94686000|0.0042|397681.19999999995|198.84|397482.3599999999|-8502766.26365|0.08986003000000002
2024-03-08 01:19:00|1|94686000|0.02|1893720.0|946.86|1892773.14|-6609993.12365|0.06986003000000002
2024-03-08 01:19:00|1|94688000|0.02|1893760.0|946.88|1892813.12|-4717180.00365|0.049860030000000014
2024-03-08 01:19:00|1|94688000|0.03|2840640.0|1420.32|2839219.68|-1877960.3236500002|0.019860030000000015
2024-03-08 01:19:00|1|94689000|0.01978851|1873754.22339|936.87|1872817.3533899998|-5142.970260000322|7.152000000001588e-05
2024-03-08 01:28:00|0|94677000|0.02022126|1914488.2330200002|957.24|-1915445.4730200002|-1920588.4432800005|0.020292780000000017
2024-03-08 01:29:00|1|94787000|0.0023184|219754.1808|109.87|219644.3108|-1700944.1324800004|0.01797438000000002
2024-03-08 01:29:00|1|94787000|0.017981599999999997|1704421.9191999997|852.21|1703569.7091999997|2625.5767199993134|-7.2199999999779385e-06
2024-03-08 01:37:00|0|94640000|0.03349342|3169817.2688|1584.9|-3171402.1688|-3168776.592080001|0.03348620000000002
2024-03-08 01:37:00|0|94640000|0.009162299999999998|867120.0719999998|433.56|-867553.6319999999|-4036330.2240800005|0.04264850000000002
2024-03-08 01:37:00|0|94640000|0.01650658|1562182.7312|781.09|-1562963.8212000001|-5599294.04528|0.05915508000000002
2024-03-08 02:07:00|1|94994000|0.00214865|204108.8581|102.05|204006.80810000002|-5395287.23718|0.05700643000000002
2024-03-08 02:07:00|1|94994000|0.04785135|4545591.1419|2272.79|4543318.3519|-851968.88528|0.009155080000000017
2024-03-08 02:13:00|0|95105000|0.05|4755250.0|2377.62|-4757627.62|-5609596.50528|0.05915508000000002
2024-03-08 02:16:00|1|95227000|0.02436307|2320022.06689|1160.01|2318862.05689|-3290734.44839|0.03479201000000002
2024-03-08 02:16:00|0|95193000|0.00390025|371276.49825|185.63|-371462.12825|-3662196.57664|0.03869226000000002
2024-03-08 02:16:00|0|95193000|0.04609975|4388373.50175|2194.18|-4390567.6817499995|-8052764.25839|0.08479201000000003
2024-03-08 02:25:00|0|95339000|0.0152|1449152.8|724.57|-1449877.37|-9502641.62839|0.09999201000000003
2024-03-08 02:27:00|1|95182000|0.00256608|244244.62656|122.12|244122.50656|-9258519.12183|0.09742593000000004
2024-03-08 02:27:00|1|95182000|0.04743392|4514855.373439999|2257.42|4512597.953439999|-4745921.16839|0.04999201000000004
2024-03-08 02:59:00|0|94893000|0.05|4744650.0|2372.32|-4747022.32|-9492943.48839|0.09999201000000005
